pca_pca_1,pca_pca_2,umap_umap_1,umap_umap_2,tsne_tsne_1,tsne_tsne_2
0.17122252952728528,0.9769846208049746,24.076176,3.1575832,395.2091,-70.40588
-1.4483633273482734,0.8862583905536308,22.920359,4.453963,11.595435,-68.055466
30.22386685584568,-0.43675934030041796,24.660362,3.104528,484.9477,-197.64853
-3.3592305222994394,1.4970038537862536,23.455612,4.0715904,89.4808,265.77567
-2.4085148602038218,-5.793152754606292,24.648327,5.3660183,-479.2297,331.66434
-0.7170802036453577,0.8506554501308767,24.31718,3.789154,234.64062,-28.761675
-1.2976059457721607,2.4362461858779167,22.912739,3.3144286,-245.95735,-283.88235
-3.446256252340916,0.5764866799473637,23.358864,4.8511543,-28.877018,272.8543
-2.226786122955208,2.9136328660972226,22.422619,4.0889673,-169.66515,-176.5381
-0.9753047564770725,-0.10526768466874224,23.99026,4.4338474,99.0413,-225.34117
-3.7047801488904524,-4.393081027480107,24.157452,5.747987,-498.80026,188.93066
-1.2221365838712435,1.850314568219653,23.479881,3.082913,223.51111,90.97117
-3.809812670403124,2.5663758703204462,22.366085,3.2971423,-383.179,-329.3482
-1.587838027963081,-0.2888682399825968,23.262018,5.5166955,-118.00366,73.95927
-2.4085148602038218,-5.793152754606294,24.697998,5.926972,-479.2297,331.66434
-1.3593251143779053,0.16716177595563655,22.689207,5.091289,4.2360196,50.78751
-0.42353998862109327,2.0891615399504797,24.10977,2.500306,399.85815,60.539097
