pca_1,pca_2
0.17122252952728528,0.9769846208049746
-1.4483633273482734,0.8862583905536308
30.22386685584568,-0.43675934030041796
-3.3592305222994394,1.4970038537862536
-2.4085148602038218,-5.793152754606292
-0.7170802036453577,0.8506554501308767
-1.2976059457721607,2.4362461858779167
-3.446256252340916,0.5764866799473637
-2.226786122955208,2.9136328660972226
-0.9753047564770725,-0.10526768466874224
-3.7047801488904524,-4.393081027480107
-1.2221365838712435,1.850314568219653
-3.809812670403124,2.5663758703204462
-1.587838027963081,-0.2888682399825968
-2.4085148602038218,-5.793152754606294
-1.3593251143779053,0.16716177595563655
-0.42353998862109327,2.0891615399504797
