Name,SMILES
PET,[H]OC(=O)c1c([H])c([H])c(C(=O)OC(=O)c2c([H])c([H])c(C(=O)OC(=O)c3c([H])c([H])c(C(=O)OC([H])([H])C([H])([H])O[H])c([H])c3[H])c([H])c2[H])c([H])c1[H]
PHB,[H]OC(=O)C([H])([H])[C@]([H])(OC(=O)C([H])([H])[C@]([H])(OC(=O)C([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])[H]
PE,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
PLA,[H]OC(=O)[C@]([H])(OC(=O)[C@]([H])(OC(=O)[C@]([H])(O[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])[H]
PCL,[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])O[H]
PUR,[H]Oc1c([H])c(N([H])[H])c([H])c([H])c1C([H])([H])c1c([H])c([H])c(N([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])Oc2c([H])c(N([H])[H])c([H])c([H])c2C([H])([H])c2c([H])c([H])c(N([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])Oc3c([H])c(N([H])[H])c([H])c([H])c3C([H])([H])c3c([H])c([H])c(N([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])O[H])c([H])c3[H])c([H])c2[H])c([H])c1[H]
PA,[H]N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H]
PU,[H]Oc1c([H])c(N([H])[H])c([H])c([H])c1C([H])([H])c1c([H])c([H])c(N([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])Oc2c([H])c(N([H])[H])c([H])c([H])c2C([H])([H])c2c([H])c([H])c(N([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])Oc3c([H])c(N([H])[H])c([H])c([H])c3C([H])([H])c3c([H])c([H])c(N([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])O[H])c([H])c3[H])c([H])c2[H])c([H])c1[H]
Nylon,[H]N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H]
PBAT,[H]OOC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OOC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)c1c([H])c([H])c(C(=O)OOC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OOC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)c2c([H])c([H])c(C(=O)OOC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OOC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)c3c([H])c([H])c(C(=O)O[H])c([H])c3[H])c([H])c2[H])c([H])c1[H]
PBSA,[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])O[H]
PES,[H]Oc1c([H])c([H])c(C(c2c([H])c([H])c(Oc3c([H])c([H])c(S(=O)(=O)c4c([H])c([H])c(Cl)c([H])c4[H])c([H])c3[H])c([H])c2Oc2c([H])c([H])c(C(c3c([H])c([H])c(Oc4c([H])c([H])c(S(=O)(=O)c5c([H])c([H])c(Cl)c([H])c5[H])c([H])c4[H])c([H])c3Oc3c([H])c([H])c(C(c4c([H])c([H])c(Oc5c([H])c([H])c(S(=O)(=O)c6c([H])c([H])c(Cl)c([H])c6[H])c([H])c5[H])c([H])c4Cl)(C([H])([H])[H])C([H])([H])[H])c([H])c3[H])(C([H])([H])[H])C([H])([H])[H])c([H])c2[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H]
PBS,[H]OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])O[H]
NR,[H]C([H])=C([H])C([H])([H])C(=C([H])C([H])=C([H])C([H])([H])C(=C([H])C([H])=C([H])C([H])([H])C(=C([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])[H]
PHBV,[H]OC(=O)C([H])([H])[C@]([H])(OC(=O)C([H])([H])[C@]([H])(OC(=O)C([H])([H])[C@]([H])(OC(=O)C([H])([H])[C@]([H])(OC(=O)C([H])([H])[C@]([H])(OC(=O)C([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])[H]
PS,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H]
PVA,[H]OC([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])O[H])C([H])([H])C([H])(C([H])([H])O[H])C([H])([H])O[H]
PHV,[H]OC(=O)C([H])([H])[C@]([H])(OC(=O)C([H])([H])[C@]([H])(OC(=O)C([H])([H])[C@]([H])(O[H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H]
PEF,[H]OC(=O)c1c([H])oc([H])c1C(=O)OC([H])([H])C([H])([H])OC(=O)c1c([H])oc([H])c1C(=O)OC([H])([H])C([H])([H])OC(=O)c1c([H])oc([H])c1C(=O)OC([H])([H])C([H])([H])O[H]
P4HB,[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])O[H]
P3HP,[H]OC(=O)C([H])([H])OC(=O)C([H])([H])OC(=O)C([H])([H])O[H]
PEA,[H]N([H])C([H])([H])C([H])([H])N([H])C([H])([H])C([H])([H])N([H])C([H])([H])C([H])([H])N([H])[H]
LDPE,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
PHO,[H]OC(=O)[C@@]([H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C(=O)[C@@]([H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C(=O)[C@@]([H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H]
Impranil,[H]OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])O[H]
O-PVA,[H]OC([H])([H])C(=O)C([H])([H])C([H])(C([H])([H])O[H])C([H])([H])C(=O)C([H])([H])C([H])(C([H])([H])O[H])C([H])([H])C(=O)C([H])([H])C([H])([H])C([H])([H])O[H]
PEG,[H]OOC([H])([H])C([H])([H])OOC([H])([H])C([H])([H])OOC([H])([H])C([H])([H])O[H]
PBSeT,[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)c1c([H])c([H])c(C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)c2c([H])c([H])c(C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)c3c([H])c([H])c(C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])O[H])c([H])c3[H])c([H])c2[H])c([H])c1[H]
PBS-Blend,[H]OC(=O)c1c([H])c([H])c(C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)c2c([H])c([H])c(C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)c3c([H])c([H])c(C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])O[H])c([H])c3[H])c([H])c2[H])c([H])c1[H]
P3HV,[H]OC(=O)[C@@]([H])(O[H])C([H])([H])C([H])([H])C(=O)[C@@]([H])(O[H])C([H])([H])C([H])([H])C(=O)[C@@]([H])(O[H])C([H])([H])C([H])([H])[H]
PMCL,[H]OC(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])O[H]
PPL,[H]C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
PHPV,[H]OC(=O)OC([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C(=O)OC([H])([H])C([H])([H])[H]
P(3HB-co-3MP),[H]OC(=O)OC([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])C(=O)OC([H])(C([H])([H])[H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])C(=O)OC([H])(C([H])([H])[H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])C(=O)OC([H])(C([H])([H])[H])C([H])([H])[H]
PHBVH,[H]OC(=O)OC([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C(=O)OC([H])(C([H])([H])[H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C(=O)OC([H])(C([H])([H])[H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C(=O)OC([H])(C([H])([H])[H])C([H])([H])[H]
PBSA-Blend,[H]OC(=O)OC([H])(C([H])([H])[H])C([H])([H])C(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)OC([H])(C([H])([H])[H])C([H])([H])C(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)OC([H])(C([H])([H])[H])C([H])([H])C(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])O[H]
PHBH,[H]OC(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])[H]
